"date_time","gesamt"
2019-10-18 12:00:00,70.32075
2019-10-18 16:00:00,65.22875
2019-10-18 20:00:00,63.4805
2019-10-19 12:00:00,57.71575
2019-10-19 16:00:00,53.60225
2019-10-19 20:00:00,54.595
2019-10-25 12:00:00,69.3245
2019-10-25 16:00:00,62.9
2019-10-25 20:00:00,63.14075
2019-10-26 12:00:00,58.94225
2019-10-26 16:00:00,53.634
2019-10-26 20:00:00,55.871
2019-11-01 12:00:00,58.63775
2019-11-01 16:00:00,57.2625
2019-11-01 20:00:00,55.66425
2019-11-02 12:00:00,57.0475
2019-11-02 16:00:00,54.717
2019-11-02 20:00:00,53.825
2019-11-08 12:00:00,68.73375
2019-11-08 16:00:00,66.49075
2019-11-08 20:00:00,61.35225
2019-11-09 12:00:00,58.87575
2019-11-09 16:00:00,56.498
2019-11-09 20:00:00,55.184
2019-11-15 12:00:00,72.33125
2019-11-15 16:00:00,68.781
2019-11-15 20:00:00,63.06
2019-11-16 12:00:00,60.602
2019-11-16 16:00:00,59.542
2019-11-16 20:00:00,57.81475
2019-11-22 12:00:00,71.34425
2019-11-22 16:00:00,69.258
2019-11-22 20:00:00,64.3795
2019-11-23 12:00:00,60.78325
2019-11-23 16:00:00,60.3325
2019-11-23 20:00:00,56.87175
2019-11-29 12:00:00,71.87975
2019-11-29 16:00:00,69.56
2019-11-29 20:00:00,64.92525
2019-11-30 12:00:00,57.69275
2019-11-30 16:00:00,57.615
2019-11-30 20:00:00,55.3055
2019-12-06 12:00:00,74.609
2019-12-06 16:00:00,74.16975
2019-12-06 20:00:00,67.9085
2019-12-07 12:00:00,63.24625
2019-12-07 16:00:00,61.25725
2019-12-07 20:00:00,57.80125
2019-12-13 12:00:00,72.3725
2019-12-13 16:00:00,70.113
2019-12-13 20:00:00,63.59425
2019-12-14 12:00:00,63.0135
2019-12-14 16:00:00,62.973
2019-12-14 20:00:00,58.96975
2019-12-20 12:00:00,64.93075
2019-12-20 16:00:00,64.14475
2019-12-20 20:00:00,58.46525
2019-12-21 12:00:00,56.3675
2019-12-21 16:00:00,56.2155
2019-12-21 20:00:00,54
2019-12-27 12:00:00,54.6595
2019-12-27 16:00:00,54.8655
2019-12-27 20:00:00,52.2605
2019-12-28 12:00:00,52.3975
2019-12-28 16:00:00,52.999
2019-12-28 20:00:00,51.8555
2020-01-03 12:00:00,65.17325
2020-01-03 16:00:00,63.1095
2020-01-03 20:00:00,59.215
2020-01-04 12:00:00,61.56675
2020-01-04 16:00:00,60.05925
2020-01-04 20:00:00,56.5715
2020-01-10 12:00:00,71.87825
2020-01-10 16:00:00,69.53825
2020-01-10 20:00:00,64.419
2020-01-11 12:00:00,60.68125
2020-01-11 16:00:00,59.4655
2020-01-11 20:00:00,58.742
2020-01-17 12:00:00,70.8935
2020-01-17 16:00:00,68.799
2020-01-17 20:00:00,65.09975
2020-01-18 12:00:00,62.0585
2020-01-18 16:00:00,58.341
2020-01-18 20:00:00,56.83575
2020-01-24 12:00:00,72.9515
2020-01-24 16:00:00,68.99775
2020-01-24 20:00:00,65.4335
2020-01-25 12:00:00,62.3145
2020-01-25 16:00:00,59.2265
2020-01-25 20:00:00,57.52325
2020-01-31 12:00:00,73.21875
2020-01-31 16:00:00,68.182
2020-01-31 20:00:00,65.7295
2020-02-01 12:00:00,62.45
2020-02-01 16:00:00,59.588
2020-02-01 20:00:00,59.308
2020-02-07 12:00:00,70.87175
2020-02-07 16:00:00,66.7335
2020-02-07 20:00:00,65.25375
2020-02-08 12:00:00,59.97925
2020-02-08 16:00:00,56.01625
2020-02-08 20:00:00,57.59275
2020-02-14 12:00:00,71.4275
2020-02-14 16:00:00,66.82525
2020-02-14 20:00:00,64.1525
2020-02-15 12:00:00,60.73175
2020-02-15 16:00:00,56.01725
2020-02-15 20:00:00,58.82475
2020-02-21 12:00:00,71.9795
2020-02-21 16:00:00,66.60425
2020-02-21 20:00:00,65.54375
2020-02-22 12:00:00,63.49675
2020-02-22 16:00:00,59.3305
2020-02-22 20:00:00,58.561
2020-02-28 12:00:00,71.7955
2020-02-28 16:00:00,65.54125
2020-02-28 20:00:00,65.963
2020-02-29 12:00:00,60.968
2020-02-29 16:00:00,58.11075
2020-02-29 20:00:00,58.38525
2020-03-06 12:00:00,72.43025
2020-03-06 16:00:00,67.92175
2020-03-06 20:00:00,63.46775
2020-03-07 12:00:00,59.83175
2020-03-07 16:00:00,54.9605
2020-03-07 20:00:00,56.2505
2020-03-13 12:00:00,73.20175
2020-03-13 16:00:00,66.875
2020-03-13 20:00:00,63.834
2020-03-14 12:00:00,57.12375
2020-03-14 16:00:00,53.2305
2020-03-14 20:00:00,55.857
2020-03-20 12:00:00,65.36875
2020-03-20 16:00:00,60.5775
2020-03-20 20:00:00,59.88
2020-03-21 12:00:00,59.00725
2020-03-21 16:00:00,53.9865
2020-03-21 20:00:00,55.02175
2020-03-27 12:00:00,61.52975
